You can locate yourself in this list by going to http://passwordsgenerator.net/md5-hash-generator/ and entering your SUNet ID (e.g., ckincaid). Search for the MD5 hash result in this list to find the numbers of the lectures for which you should give feedback. Refer to the schedule (cs106a.stanford.edu/schedule) to see the date that corresponds to each lecture number. If you cannot find your hash in this list, please go to https://cs198.stanford.edu/cs198/auth/Profile.aspx to confirm that the SUNet ID that we have on file for you is the one you tried to use. If you still cannot find yourself, please email the head TA.

On your assigned lecture days (and other days if you feel so inclined), please submit feedback at https://goo.gl/forms/B4r5slzkdJxpdrEf1.

4E8E1FF25C652327CD1B4D357AE784FD: [10, 22]
F7EE79AB31B867D4C3E000CE05ABAEEC: [8, 21]
D65C389068E7B0162E959A52334292D1: [3, 17]
06ABE0948F10518CB75955199660C015: [12, 17]
474BAC4CFE1992C44435E7BEABA5C17F: [6, 24]
7203835CCF920591A13BDAD9DC2A7A45: [11, 16]
2674A41E938D965E66861F618F457B92: [15, 26]
84B47FDEC3B6922DDB0C35EFBE0D40B7: [14, 24]
0F6D47D50D6C2A18942691C93EBC6322: [14, 19]
0A5B6CA94E5AFCAD7CF43CF03988F3B2: [6, 28]
9F1594203FDE71E90E547FCEC039D934: [8, 22]
7CC60E98C20F5DC50FEA0559DB0D81E5: [14, 21]
E7BB463DAD90320258DB812C0D190930: [2, 23]
367599F0FA6416B632F5910BC5017AC4: [9, 25]
0F8D4D5355EED7624BA5FAAA3938DDB9: [1, 15]
089D8BA37CC9225F138167BC9089C91F: [3, 28]
3EB866A70E708AB522732AFFB75ED511: [14, 15]
EEEE2158CB7D7A56C0046417BD56150C: [10, 27]
85757EAA5196CB1BC04B0E9197913263: [7, 24]
102730F46031A88C0857C5EDE7D37B17: [1, 28]
63EE9F4CF85F2D315902EEC4EFFCAD55: [18, 24]
1E41AC007B2EACBD615C84C65C0C64F6: [14, 23]
0D99928B68D1A83560049FA613598FBC: [5, 19]
5C01D2BB1216F6D0DED5E69E9064E6E8: [5, 24]
A25E34F48F61EFA9E2FA8EFC14ABCAE5: [17, 22]
19E7606FCF335B888EC28F0647CCA8D9: [2, 16]
2CCECAC3835CB81BB70834EE0A394D0B: [8, 23]
10B6A5FE881D3D7EEA3F507F68548C80: [7, 22]
2192F4AB6A16FEC4E25514A5C86FB324: [6, 22]
98DDAC8CA3077DDF1490431C18647EAF: [14, 27]
3E98D6DECBAF62891AD5DEEC6152A470: [12, 20]
82F9DCB22A14036BD7A240D1B1039DF0: [8, 26]
6ADFE86D2A66E39D816C0601886FDEE8: [12, 28]
9514829F133F08A8D38C33BF10BDEA9A: [14, 21]
8AB0A14FDF70F3701BBF6B702A8C2008: [1, 15]
E30EE55F9CEC230AF4FA9F4925C5EBE1: [12, 25]
551CF1E9598A0AB7451CAEF864F4077B: [10, 18]
88F4ABA2548D360D182D10317C8D312C: [11, 18]
1B3EA834D34CD5F6B700EAB67383BC3A: [6, 15]
DF9FD3470CE3BBC7D1119FBB059DB50E: [14, 18]
6B4C8C8FA7A725AF869F3A95F5CFAA0A: [4, 28]
F60393841A1AAEAD3AE25BBCABF82B95: [14, 18]
D9A7D3780F067E3C007323F9E8EFCAF2: [7, 15]
F4B08E7CC0A94BB8F4E9969EEB532039: [14, 27]
3920020409B79396EBCCD3797663A01A: [13, 16]
54B3D460673251974718B423DEEC4441: [10, 17]
BD197E8905AF84FE56D5055449F2ABFC: [4, 26]
34FEF7540737D813C2E66FC7641A5C25: [13, 20]
63402680971587D4B614E4B6A4970A95: [7, 20]
ADD0633F088B04BA380098E717A321E0: [3, 15]
323D72A752556F3F64CEB616A10A2F1F: [9, 27]
64F3326654202A3CCA4CDEC3EF74DA3A: [11, 20]
4A01B062846D50AED210D2AFEF624819: [2, 20]
E5AB387FB924DAC69452185B7F337151: [2, 22]
5982AC3EFB7E9300AB710C428071B468: [10, 27]
A71F4F36B652D3B770CEF50952E3BA72: [8, 27]
95B3C4312DE1C57056E96FEC0AA6D30D: [8, 21]
E92DFD0C4DCBE18711F0E42276A45DF2: [11, 18]
37EB3BA5A37D6E3A02F8B4712F74C265: [10, 25]
2944D80FC23647A516C1CB6793E284C9: [11, 19]
4DE5B20EC591A5C335525B80EBEE11D9: [12, 28]
01308A408D1BC95C05B3AE5741F5632D: [2, 27]
5998B6FE94FE872294EC73B1366CBF23: [12, 26]
934459B5710B1581128F77835DBD4B34: [12, 24]
F82C6BF913C37359756B31E4BAD73C11: [16, 25]
6AD9D2FA4721A2582370D15AB77B459D: [10, 21]
34572C0424D458D57783A1681FC6B01B: [6, 20]
C6BDE0565CC87B2630D0680BA1276192: [12, 19]
844B55909A9141DD4E23694D367DD890: [9, 25]
70B66F76EB0CD60C5053698FB47670AE: [4, 22]
1DB4762D0C75DF596F63B0A388649332: [3, 23]
630B45C909E029D702E625D0761EF430: [6, 19]
EEAB6DDD8F0A7BFCF74AD0AFD1561635: [11, 16]
64100EEC1C2F7CEB3AFB14D66CC08D6F: [2, 27]
7037AAEC0F6C0F0BFD5FD9908AC7B0AB: [9, 25]
4F56C7D361E9BAAFB5673526B4AEF1AC: [1, 28]
DD1ED4F7BD22F9C1140472355D7A3619: [15, 21]
3034EBA67524E531235CC43F04D4F88C: [7, 27]
9E43ED829B55334F6AB806E4D7D3F3C3: [9, 28]
BDF537821D4365CD307C0EAB8CD1BC52: [11, 17]
894485E69672188A0705005B9DAEBC11: [13, 15]
218CD4582BF9A5384FD5582459E86793: [3, 17]
633359BDA8B6F5BFFE001ACD606BE7FA: [9, 25]
A5A73AC0A66737F3E8334DAB24E7802C: [10, 17]
A98930DB897AB759C3A4AB1A160519CB: [18, 27]
A969BF0F215622FE0DCD5FA63BAEF048: [2, 20]
536B6D1843D4D833B3D715A3C3433B61: [4, 26]
4BD23D9942542E9745A133EC6D28443C: [11, 17]
864A5C5339675703DDE69E90B4C55DD3: [5, 27]
331E21D9E064153F851C17FF9398EC04: [11, 19]
BCB39917E76082F4FA8F10E6BEA3A374: [9, 20]
B726DC3F734DEDC1259EF261939092E5: [3, 24]
4323640D94271E6491070F81C9B36065: [6, 18]
F9FD2BAD07F8BA68A9C8538F4E5D7B4F: [11, 27]
0588D0F66B0BC2BC6FF2CB4822F17597: [7, 16]
0B8F1207D5DC165E013BFED07DD4FB55: [9, 23]
28C8006FDDA83ADC030C4F474882CFBD: [11, 23]
AD0CC085E0A97A0145E33D7CDF758DFD: [11, 20]
D88A73E4844BB933DB0FAD8CE3FC3BA6: [6, 21]
9CA3B234D90B2FEB73F40C42AD6B5863: [7, 23]
0F23C68C7E5469358584EABEBDB43ABA: [13, 18]
16E22F742BC9F5054BAE7D68B9D43E41: [3, 16]
4EC6BA167E2770CBA8F771F186012899: [5, 18]
BA61F69DCF9447AC74BE77398E6DD3A8: [14, 21]
F9EE3B45FD16A1511C764952F14AFB77: [4, 15]
06DE008F977DB19A52B4A45521436945: [12, 28]
DAF30667AF0ACB048CCA085450C9A194: [4, 21]
251FB46BB801FE730D05563EBDFF5589: [12, 18]
595A8CF9689B44358CAE75CA8819E307: [13, 20]
2148640E763A05FFB32D831332BF3B87: [10, 19]
D30A9C4038D5DF133B691C6E867722A9: [14, 16]
F8615CD828D18C69A47A37BE99458F9D: [4, 18]
BA1C7B1A821A90CE062C6C1709C908D1: [8, 24]
DF433CD6D2F01C08559BB3737B466DB7: [14, 24]
BD009E5CB2DEA2A697DE722FAD9D2F91: [11, 22]
7D5556C37CB0CD397B9D09BD5E539B25: [14, 19]
BD53AF65DB190F57D73E7DEB173748E4: [13, 21]
5703EF72E8B70911FF2BD21B21A36D58: [13, 17]
74F5F5F704EE62726FDDE51E15E7CEE6: [3, 18]
BCF8497EDDE986FA5CD399E55C9258ED: [13, 28]
99B4E42DA9DF67A1C15894EB3C82D961: [14, 22]
D9B840F443DDA8C47C325C36CD3ADF41: [9, 18]
29FAA6CB8D44252B5B45B17F964EFDD8: [1, 19]
1A11FE24F8B410BD969805020E2099F7: [5, 15]
D5B933BFF4F2DFCC60423F732B3BFCE7: [9, 16]
CAD052144E933AF17AFA9DE44FA42524: [14, 25]
47C6F3CA7D835321CB2740236D5EBCF1: [5, 21]
4B8EA8A0B19FE68260A7E6D16F8CF5ED: [2, 17]
884622F84B49633EA3E93C9E84D37886: [7, 15]
668F4E389A4DB061CF130440A748A089: [6, 26]
7C92EAA1929DBE44A4D9978A83CC66B4: [7, 27]
A41202ACC436B4DE811528282EC70A16: [3, 26]
DB019267A2F63D69AA4964A501DBF239: [3, 28]
47BD51EDB9DB6D9488D1104E50A49EDC: [2, 23]
9584094620B396A692DD9332BCC405AE: [6, 21]
1AB6B8D109B383610BCBEED07DC2C67F: [15, 22]
24872C2A45ED0141C67C64FD38E09C5D: [4, 16]
E92858F80F2272CD248FB5B906F9657D: [4, 27]
