218cd4582bf9a5384fd5582459e86793: [3, 17]
6ad9d2fa4721a2582370d15ab77b459d: [10, 21]
0d99928b68d1a83560049fa613598fbc: [5, 19]
63402680971587d4b614e4b6a4970a95: [7, 20]
698726164ca0d51b3188fc73bcafa99a: [13, 22]
e30ee55f9cec230af4fa9f4925c5ebe1: [12, 25]
551cf1e9598a0ab7451caef864f4077b: [10, 18]
0f6d47d50d6c2a18942691c93ebc6322: [14, 19]
7037aaec0f6c0f0bfd5fd9908ac7b0ab: [9, 25]
f9fd2bad07f8ba68a9c8538f4e5d7b4f: [11, 27]
24872c2a45ed0141c67c64fd38e09c5d: [4, 16]
8de086ef472c1592ae5807bb5c9cbc6b: [8, 20]
8957d458aef2280f70b8021905fbe7d5: [5, 20]
884622f84b49633ea3e93c9e84d37886: [7, 15]
88f4aba2548d360d182d10317c8d312c: [11, 18]
6adfe86d2a66e39d816c0601886fdee8: [12, 28]
e05c9a3463bf910d665dd211bd70e756: [13, 23]
c5663b60822808eff3f7fd7562633f0f: [10, 23]
47bd51edb9db6d9488d1104e50a49edc: [2, 23]
d5588227cb9f4dbc931e8e4904182f59: [14, 23]
4323640d94271e6491070f81c9b36065: [6, 18]
4fcfde3773f62320bcb5ad01f48a5de6: [7, 23]
8189209d9eee3aa057244987e41eaf9a: [4, 25]
e90472fa63c3c24e2ef056a9da31683a: [12, 27]
54b3d460673251974718b423deec4441: [10, 17]
9cdd656e9f354bf4b1fe4218b16a5010: [10, 19]
86d14e010247ec21301944d1e9689d74: [11, 19]
82f9dcb22a14036bd7a240d1b1039df0: [8, 26]
29c2e3a205c79f529439793a1ece4591: [12, 16]
7203835ccf920591a13bdad9dc2a7a45: [11, 16]
a41202acc436b4de811528282ec70a16: [3, 26]
13defed2f4d3311a61129ea3543babad: [9, 19]
4cbd4468d704e2507b02d34ddbce520d: [5, 17]
58e81f4310e095c94599e9d7869f2a58: [9, 25]
a3a1579e111b8edd92c05f22c9b32d55: [10, 25]
2ae7ace2fa42ac0a7d3de328dca6b793: [5, 16]
eee7c63000fe2bd6e4f01212f97f300e: [9, 22]
0588d0f66b0bc2bc6ff2cb4822f17597: [7, 16]
9584094620b396a692dd9332bcc405ae: [6, 21]
99b4e42da9df67a1c15894eb3c82d961: [14, 22]
4e8e1ff25c652327cd1b4d357ae784fd: [10, 22]
95b3c4312de1c57056e96fec0aa6d30d: [8, 21]
f8615cd828d18c69a47a37be99458f9d: [4, 18]
a969bf0f215622fe0dcd5fa63baef048: [2, 20]
4ec6ba167e2770cba8f771f186012899: [5, 18]
ba61f69dcf9447ac74be77398e6dd3a8: [14, 21]
ea5da10aa5811a9f638c365513001a89: [3, 25]
f9ee3b45fd16a1511c764952f14afb77: [4, 15]
1e41ac007b2eacbd615c84c65c0c64f6: [14, 23]
885a873df9ac62036d9da31e5ce1cc8f: [13, 25]
64100eec1c2f7ceb3afb14d66cc08d6f: [2, 27]
bcf8497edde986fa5cd399e55c9258ed: [13, 28]
367599f0fa6416b632f5910bc5017ac4: [9, 25]
b311882698ca0fd8221c0f348a4158dd: [7, 23]
add0633f088b04ba380098e717a321e0: [3, 15]
512eeca4f93cf3df150a1d33d1c637ff: [8, 27]
699c7a62ba3298c6dd8069f64d70cce0: [7, 19]
0bc8b5c9565d0de243efc831f4d06e7a: [2, 28]
2e959437d0c04e207f0aeb4a7d162959: [1, 21]
7b13737f66b7f0f4b43705434cdfee68: [12, 22]
461ebc1653627b6accd4e2e800bfbe3a: [1, 20]
47c6f3ca7d835321cb2740236d5ebcf1: [5, 21]
6cd6b1a33c3b00d3c5e35f52bdbac958: [1, 18]
db019267a2f63d69aa4964a501dbf239: [3, 28]
2d75a833de8a38dff78ffb4183cd8672: [1, 15]
0a5b6ca94e5afcad7cf43cf03988f3b2: [6, 28]
1b3ea834d34cd5f6b700eab67383bc3a: [6, 15]
2ccecac3835cb81bb70834ee0a394d0b: [8, 23]
7bc63341962a08ca8619b47be5372f3b: [13, 16]
35d2d2949c05f7b51ed90c4c85e48fbd: [2, 25]
f7ee79ab31b867d4c3e000ce05abaeec: [8, 21]
9d98879243ff8544eed140b81be1662a: [6, 18]
67756933a81f29d1105aec8ae130d664: [1, 20]
474bac4cfe1992c44435e7beaba5c17f: [6, 24]
536b6d1843d4d833b3d715a3c3433b61: [4, 26]
16e22f742bc9f5054bae7d68b9d43e41: [3, 16]
9ca3b234d90b2feb73f40c42ad6b5863: [7, 23]
bcb39917e76082f4fa8f10e6bea3a374: [9, 20]
4b8ea8a0b19fe68260a7e6d16f8cf5ed: [2, 17]
574b73d84a4236887d5d211aa31cfb82: [12, 21]
943e7e1fd1585241dec326307df65337: [10, 17]
4198cb1fb9a7e024f88b5825dd482836: [9, 16]
9e43ed829b55334f6ab806e4d7d3f3c3: [9, 28]
bdf537821d4365cd307c0eab8cd1bc52: [11, 17]
7aaa730ca09cd01ccf2970730e185999: [3, 27]
11a5bdd36002b829429c3f7f7070ada9: [1, 23]
5244d74d485b57e2b703e35725aa16f9: [5, 22]
e92dfd0c4dcbe18711f0e42276a45df2: [11, 18]
db47d0821baac8ea7fcd2b831ad85d80: [4, 22]
bd009e5cb2dea2a697de722fad9d2f91: [11, 22]
becb97f3ee6247d5a1dd383b8c588e16: [4, 24]
102730f46031a88c0857c5ede7d37b17: [1, 28]
1db4762d0c75df596f63b0a388649332: [3, 23]
29faa6cb8d44252b5b45b17f964efdd8: [1, 19]
68a053ba16f5d2dbe60ce2311d9c7ffe: [2, 22]
b65ac45398f87ef8c0704d59c5ec9563: [2, 18]
1fb3d24cba59e8c0ff5002249fba9a2a: [5, 15]
95ec65786ccd655a73455012eddeefa4: [7, 16]
d89be91bcfdd1caa83b88cb5b33cbee2: [8, 19]
d88a73e4844bb933db0fad8ce3fc3ba6: [6, 21]
3eb866a70e708ab522732affb75ed511: [14, 15]
9877a610c3d89e2aa749ce505e9af4a4: [8, 19]
0f23c68c7e5469358584eabebdb43aba: [13, 18]
d6492a23b38c7fc2e460348610ac0942: [2, 17]
43ed3ac0b465eb5d35c7f43a1b3ac76d: [1, 16]
74f5f5f704ee62726fdde51e15e7cee6: [3, 18]
e5ab387fb924dac69452185b7f337151: [2, 22]
630b45c909e029d702e625d0761ef430: [6, 19]
3f4358ba8c5d7081eef5ba780043de43: [4, 28]
